Record;[0]\[3];[3]\[0]
150276;CaveIRoomDoorB04 [STAT:00024B04];Dungeons\Caves\Ice\SmallRoom\CaveIRoomDoorB04.nif
150277;CaveIRoomDoorB01 [STAT:00024B05];Dungeons\Caves\Ice\SmallRoom\CaveIRoomDoorB01.nif
150278;CaveIRoomDoorB02 [STAT:00024B06];Dungeons\Caves\Ice\SmallRoom\CaveIRoomDoorB02.nif
150408;RockShelf01Rocks01 [STAT:00024B88];Landscape\Rocks\RockShelf01.nif
150423;RockPileL04Rocks01 [STAT:00024B97];Landscape\Rocks\RockPileL04.nif
150424;RockPileL04Rocks01SnowLight [STAT:00024B98];Landscape\Rocks\RockPileL04.nif
150427;RockL05Snow [STAT:00024B9B];Landscape\Rocks\RockL05.nif
150445;RockCliff03Snow [STAT:00024BAD];Landscape\Rocks\RockCliff03.nif
150458;RockPileS01DirtSnowPathSnowLight [STAT:00024BBA];Landscape\Rocks\RockPileS01.nif
150469;RockCliff01Snow01_HeavySN [STAT:00024BC5];Landscape\Rocks\RockCliff01.nif
150493;RockPileS01Rocks01 [STAT:00024BDD];Landscape\Rocks\RockPileS01.nif
150625;RockPileL02Rocks01 [STAT:00024C61];Landscape\Rocks\RockPileL02.nif
150676;RockCliff04Snow [STAT:00024C94];Landscape\Rocks\RockCliff04.nif
150713;CommonTable01 [STAT:00024CB9];Clutter\Common\CommonTable01.nif
150805;RockCliff06Snow [STAT:00024D15];Landscape\Rocks\RockCliff06.nif
151074;RockPileS02Rocks01 [STAT:00024E22];Landscape\Rocks\RockPileS02.nif
151112;DirtCliffs01FieldGrass01 [STAT:00024E48];Landscape\DirtCliffs\DirtCliffs01.nif
151114;RockPileL03FieldGrass01Moss [STAT:00024E4A];Landscape\Rocks\RockPileL03Moss.nif
151163;RockPileL02FieldGrass01Moss [STAT:00024E7B];Landscape\Rocks\RockPileL02Tundra.nif
151183;RockPileM02FieldGrass01Moss [STAT:00024E8F];Landscape\Rocks\RockPileM02Tundra.nif
151303;NorShaftTrapDoorSTATIC [STAT:00024F07];Dungeons\Nordic\Doors\Animated\TrapDoor\Ruins_TrapDoor01.nif
151304;NorShaftTrapDoorSmallerSTATIC [STAT:00024F08];Dungeons\Nordic\Doors\Animated\TrapDoor\Ruins_TrapDoorSmaller01.nif
151326;SVittoriaViciHouse [STAT:00024F1E];Architecture\Solitude\SVittoriaViciHouse.nif
151328;CandleHornChandelier01 [STAT:00024F20];Clutter\Candles\CandleHornChandelier01.nif
151353;RockPileS02Rocks01Snow [STAT:00024F39];Landscape\Rocks\RockPileS02.nif
151366;RockPileS01PineForest01 [STAT:00024F46];Landscape\Rocks\RockPileS01.nif
155972;TestNorBridgeMid04snowy [STAT:00026144];Dungeons\Nordic\Bridges\NorBridgeMid04.nif
155973;NorRmSmFloorRaised01sn_light [STAT:00026145];Dungeons\Nordic\SmRooms\NorRmSmFloorRaised01.nif
157795;TestCaveGRoomMid01cIcy [STAT:00026863];Dungeons\Caves\Green\SmallRoom\CaveGRoomMid01c.nif
157960;WalkwayRamp01 [STAT:00026908];Architecture\Farmhouse\Walkway\WalkwayRamp01.nif
159322;NorRmShaftMidStairGroundSup01 [STAT:00026E5A];Dungeons\Nordic\Shafts\NorRmShaftMidStairGroundSup01.nif
159323;NorRmShaftMidStairBot01 [STAT:00026E5B];Dungeons\Nordic\Shafts\NorRmShaftMidStairBot01.nif
159324;NorRmShaftMidStairDeck01 [STAT:00026E5C];Dungeons\Nordic\Shafts\NorRmShaftMidStairDeck01.nif
159325;NorRmShaftMidStairDeck02 [STAT:00026E5D];Dungeons\Nordic\Shafts\NorRmShaftMidStairDeck02.nif
159326;NorRmShaftMidStair01 [STAT:00026E5E];Dungeons\Nordic\Shafts\NorRmShaftMidStair01.nif
159327;NorRmShaftMidStairTop01 [STAT:00026E5F];Dungeons\Nordic\Shafts\NorRmShaftMidStairTop01.nif
159328;NorRmShaftMidCapBot01 [STAT:00026E60];Dungeons\Nordic\Shafts\NorRmShaftMidCapBot01.nif
159329;NorRmShaftMidCapTop01 [STAT:00026E61];Dungeons\Nordic\Shafts\NorRmShaftMidCapTop01.nif
159330;NorRmShaftMidExSm01 [STAT:00026E62];Dungeons\Nordic\Shafts\NorRmShaftMidExSm01.nif
159350;NorTmpHallBg1wayWall02a [STAT:00026E76];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBg1wayWall02a.nif
159351;NorTmpHallBg1wayWall02aSnow [STAT:00026E77];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBg1wayWall02a.nif
169705;1stPersonOrcishWarAxe [STAT:000296E9];Weapons\Orcish\1stPersonOrcishHandAxe.nif
169733;1stPersonOrcishMace [STAT:00029705];Weapons\Orcish\1stPersonOrcishMace.nif
169736;1stPersonOrcishBattleAxe [STAT:00029708];Weapons\Orcish\1stPersonOrcishBattleAxe.nif
169740;1stPersonOrcishWarhammer [STAT:0002970C];Weapons\Orcish\1stPersonOrcishWarhammer.nif
169747;1stPersonOrcishGreatsword [STAT:00029713];Weapons\Orcish\1stPersonOrcishGreatsword.nif
169758;1stPersonOrcishSword [STAT:0002971E];Weapons\Orcish\1stPersonOrcishSword.nif
169760;1stPersonOrcishDagger [STAT:00029720];Weapons\Orcish\1stPersonOrcishDagger.nif
182350;CaveILRoomWall01 [STAT:0002C84E];Dungeons\Caves\Ice\LargeRoom\CaveILRoomWall01.nif
182351;RockCliff06Ice [STAT:0002C84F];Landscape\Rocks\RockCliff06.nif
182352;CaveILRoomMid01 [STAT:0002C850];Dungeons\Caves\Ice\LargeRoom\CaveILRoomMid01.nif
182353;CaveILRoomWall04 [STAT:0002C851];Dungeons\Caves\Ice\LargeRoom\CaveILRoomWall04.nif
182354;CaveILRoomWall03 [STAT:0002C852];Dungeons\Caves\Ice\LargeRoom\CaveILRoomWall03.nif
182355;CaveILRoomWall02 [STAT:0002C853];Dungeons\Caves\Ice\LargeRoom\CaveILRoomWall02.nif
182356;RockCliff04Ice [STAT:0002C854];Landscape\Rocks\RockCliff04.nif
182357;RockCliff02Ice [STAT:0002C855];Landscape\Rocks\RockCliff02.nif
182358;RockCliff01Ice [STAT:0002C856];Landscape\Rocks\RockCliff01.nif
188956;testNorRmShaftMidExSm01icy [STAT:0002E21C];Dungeons\Nordic\Shafts\NorRmShaftMidExSm01.nif
188957;testNorRmShaftMid01icy [STAT:0002E21D];Dungeons\Nordic\Shafts\NorRmShaftMid01.nif
190148;NorChamberCustom01 [STAT:0002E6C4];Dungeons\Nordic\Chambers\NorChamberCustom01.nif
190157;CommonShelf01 [STAT:0002E6CD];Clutter\Common\CommonShelf01.nif
190353;CaveILRoomCorner01 [STAT:0002E791];Dungeons\Caves\Ice\LargeRoom\CaveILRoomCorner01.nif
190355;CaveILRoomCorner02 [STAT:0002E793];Dungeons\Caves\Ice\LargeRoom\CaveILRoomCorner02.nif
190357;CaveILRoomCorner04 [STAT:0002E795];Dungeons\Caves\Ice\LargeRoom\CaveILRoomCorner04.nif
190358;CaveILRoomCorner03 [STAT:0002E796];Dungeons\Caves\Ice\LargeRoom\CaveILRoomCorner03.nif
190492;NorChamberCustom02 [STAT:0002E81C];Dungeons\Nordic\Chambers\NorChamberCustom02.nif
190493;NorChamberRitual01 [STAT:0002E81D];Dungeons\Nordic\Chambers\NorChamberRitual01.nif
190536;NorRmShaftMidExSm04 [STAT:0002E848];Dungeons\Nordic\Shafts\NorRmShaftMidExSm04.nif
190537;NorRmShaftMidExSm03 [STAT:0002E849];Dungeons\Nordic\Shafts\NorRmShaftMidExSm03.nif
190538;NorRmShaftMidExSm02a [STAT:0002E84A];Dungeons\Nordic\Shafts\NorRmShaftMidExSm02a.nif
190539;NorRmShaftMidExSm02 [STAT:0002E84B];Dungeons\Nordic\Shafts\NorRmShaftMidExSm02.nif
191017;NorTmpHallBg1wayShadowCap01 [STAT:0002EA29];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBg1wayShadowCap01.nif
191018;NorTmpHallBg1wayShadowCap02 [STAT:0002EA2A];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBg1wayShadowCap02.nif
191021;NorTmpHallBg1wayShadowCapEx01 [STAT:0002EA2D];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBg1wayShadowCapEx01.nif
191245;FXGlowFillRoundDim [STAT:0002EB0D];Effects\Ambient\FXGlowFillRndLitDim.nif
191246;FXGlowFillRoundMid [STAT:0002EB0E];Effects\Ambient\FXGlowFillRndLitMid.nif
191247;FXGlowFillRoundXBrt [STAT:0002EB0F];Effects\Ambient\FXGlowFillRndLitXBrt.nif
191248;FXGlowFillRoundXDim [STAT:0002EB10];Effects\Ambient\FXGlowFillRndLitXDim.nif
191249;FXGlowFillRoundBrt [STAT:0002EB11];Effects\Ambient\FXGlowFillRndLitBrt.nif
191519;CommonTableRound01 [STAT:0002EC1F];Clutter\Common\CommonTableRound01.nif
191859;RockCaveEntrance01Rocks01Snow [STAT:0002ED73];Landscape\Rocks\RockCaveEntrance01.nif
191860;RockCliff04SnowLight [STAT:0002ED74];Landscape\Rocks\RockCliff04.nif
191862;RockCliff01Rocks01SnowLight [STAT:0002ED76];Landscape\Rocks\RockCliff01.nif
191866;RockCliff08_HeavySN [STAT:0002ED7A];Landscape\Rocks\RockCliff08.nif
191891;RockPileL04DirtSnowPath [STAT:0002ED93];Landscape\Rocks\RockPileL04.nif
191904;RockPileL03Rocks01 [STAT:0002EDA0];Landscape\Rocks\RockPileL03.nif
192134;RockCliff02Rocks01SnowCustom02 [STAT:0002EE86];Landscape\Rocks\RockCliff02.nif
192136;RockCliff05Rocks01SnowCustom01 [STAT:0002EE88];Landscape\Rocks\RockCliff05.nif
192144;RockL02SnowCustom02 [STAT:0002EE90];Landscape\Rocks\RockL02.nif
192145;RockL02SnowCustom01 [STAT:0002EE91];Landscape\Rocks\RockL02.nif
192147;RockL04SnowCustom01 [STAT:0002EE93];Landscape\Rocks\RockL04.nif
192148;RockCaveEntrance01SnowCustom03 [STAT:0002EE94];Landscape\Rocks\RockCaveEntrance01.nif
192246;NorTmpHallBg1wayWall02Ice [STAT:0002EEF6];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBg1wayWall02.nif
192247;NorTmpHallBg1wayEntrance01Ice [STAT:0002EEF7];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBg1wayEntrance01.nif
192248;NorRmSmFloorRaised01Ice [STAT:0002EEF8];Dungeons\Nordic\SmRooms\NorRmSmFloorRaised01.nif
192249;NorRmSmFloorRaised02Ice [STAT:0002EEF9];Dungeons\Nordic\SmRooms\NorRmSmFloorRaised02.nif
192948;NorTowerRuins01Snow [STAT:0002F1B4];Dungeons\Nordic\Exterior\Towers\NorTowerRuins01.nif
192949;NorTowerRuinsIntTopFloor01Snow [STAT:0002F1B5];Dungeons\Nordic\Exterior\Towers\NorTowerRuinsIntTopFloor01.nif
192950;NorTowerRuinsRamp01Snow [STAT:0002F1B6];Dungeons\Nordic\Exterior\Towers\NorTowerRuinsRamp01.nif
192951;NorTowerRuinsIntTopFloorStairs01Snow [STAT:0002F1B7];Dungeons\Nordic\Exterior\Towers\NorTowerRuinsIntTopFloorStairs01.nif
192952;NorTowerRuinsIntTopFloorStairs02Snow [STAT:0002F1B8];Dungeons\Nordic\Exterior\Towers\NorTowerRuinsIntTopFloorStairs02.nif
193081;CommonTableSquare01 [STAT:0002F239];Clutter\Common\CommonTableSquare01.nif
193269;1stPersonAxe [STAT:0002F2F5];Clutter\Chopping Block\Axe01.nif
193936;ChoppingBlock01 [STAT:0002F590];Clutter\Chopping Block\ChoppingBlock01.nif
193946;FXcobwebWall01 [STAT:0002F59A];Effects\FXcobwebWall01.nif
193952;FXcobwebCorner01 [STAT:0002F5A0];Effects\FXcobwebCorner01.nif
193958;FXcobwebCorner02 [STAT:0002F5A6];Effects\FXcobwebCorner02.nif
193960;FXcobwebDoorOpen [STAT:0002F5A8];Effects\FXcobwebDoorOpen.nif
196689;RockCliff01MossTEMP [STAT:00030051];Landscape\Rocks\RockCliff01.nif
196693;RockCliff04MossTEMP [STAT:00030055];Landscape\Rocks\RockCliff04.nif
196694;RockL05MossTEMP [STAT:00030056];Landscape\Rocks\RockL05.nif
196776;CaveILRoomDoor01 [STAT:000300A8];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoor01.nif
196782;CaveILRoomDoorB01 [STAT:000300AE];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoorB01.nif
196783;CaveILRoomDoorB02 [STAT:000300AF];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoorB02.nif
196784;CaveILRoomDoorB03 [STAT:000300B0];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoorB03.nif
196785;CaveILRoomDoorB04 [STAT:000300B1];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoorB04.nif
196786;CaveILRoomDoor02 [STAT:000300B2];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoor02.nif
196787;CaveILRoomDoor03 [STAT:000300B3];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoor03.nif
196788;CaveILRoomDoor04 [STAT:000300B4];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoor04.nif
196798;CaveILRoomDoorLB03 [STAT:000300BE];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoorLB03.nif
196799;CaveILRoomDoorLB04 [STAT:000300BF];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoorLB04.nif
196800;CaveILRoomICorner01 [STAT:000300C0];Dungeons\Caves\Ice\LargeRoom\CaveILRoomICorner01.nif
196801;CaveILRoomICorner02 [STAT:000300C1];Dungeons\Caves\Ice\LargeRoom\CaveILRoomICorner02.nif
196802;CaveILRoomICorner03 [STAT:000300C2];Dungeons\Caves\Ice\LargeRoom\CaveILRoomICorner03.nif
196803;CaveILRoomICorner04 [STAT:000300C3];Dungeons\Caves\Ice\LargeRoom\CaveILRoomICorner04.nif
196804;CaveILRoomDoorL01 [STAT:000300C4];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoorL01.nif
196805;CaveILRoomDoorL02 [STAT:000300C5];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoorL02.nif
196806;CaveILRoomDoorL03 [STAT:000300C6];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoorL03.nif
196807;CaveILRoomDoorL04 [STAT:000300C7];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoorL04.nif
196808;CaveILRoomDoorLB01 [STAT:000300C8];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoorLB01.nif
196809;CaveILRoomDoorLB02 [STAT:000300C9];Dungeons\Caves\Ice\LargeRoom\CaveILRoomDoorLB02.nif
196895;NorRubblePile05 [STAT:0003011F];Dungeons\Nordic\Rubble\NorRubblePile05.nif
196896;NorRubblePile04 [STAT:00030120];Dungeons\Nordic\Rubble\NorRubblePile04.nif
196897;NorRubblePile03 [STAT:00030121];Dungeons\Nordic\Rubble\NorRubblePile03.nif
196898;NorRubblePile02 [STAT:00030122];Dungeons\Nordic\Rubble\NorRubblePile02.nif
196899;NorRubblePile01 [STAT:00030123];Dungeons\Nordic\Rubble\NorRubblePile01.nif
197319;NorBridgeWoodPlanks02 [STAT:000302C7];Dungeons\Nordic\Bridges\NorBridgeWoodPlanks02.nif
197320;NorBridgeWoodPlanks01 [STAT:000302C8];Dungeons\Nordic\Bridges\NorBridgeWoodPlanks01.nif
197321;1stPersonDraugrBow [STAT:000302C9];Weapons\Draugr\DraugrBowSkinned.nif
198052;WRIntLadder01 [STAT:000305A4];Architecture\WhiteRun\WRInteriors\WRIntLadder01.nif
198058;WRIntHouseDryGoods01 [STAT:000305AA];Architecture\WhiteRun\WRInteriors\WRIntHouseDryGoods01.nif
199424;NorTmpExtPlatExSmFree01Snow [STAT:00030B00];Dungeons\Nordic\Exterior\NorTmpExtPlatExSmFree01.nif
207508;RockPileL01Snow [STAT:00032A94];Landscape\Rocks\RockPileL01.nif
208140;NorTmpHallBgColumnSm01 [STAT:00032D0C];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBgColumnSm01.nif
208141;NorTmpHallBgColumnSm02 [STAT:00032D0D];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBgColumnSm02.nif
208145;NorTmpHallBgColumnSm04 [STAT:00032D11];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBgColumnSm04.nif
208146;NorTmpHallBgColumnSm03 [STAT:00032D12];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBgColumnSm03.nif
208147;NorTmpHallBgColumnSm03Snow [STAT:00032D13];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBgColumnSm03.nif
208148;NorTmpHallBgColumnSm04Snow [STAT:00032D14];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBgColumnSm04.nif
208155;NorRubblePile01Snow [STAT:00032D1B];Dungeons\Nordic\Rubble\NorRubblePile01.nif
208156;NorRubblePile02Snow [STAT:00032D1C];Dungeons\Nordic\Rubble\NorRubblePile02.nif
208157;NorRubblePile03Snow [STAT:00032D1D];Dungeons\Nordic\Rubble\NorRubblePile03.nif
208158;NorRubblePile04Snow [STAT:00032D1E];Dungeons\Nordic\Rubble\NorRubblePile04.nif
208159;NorRubblePile05Snow [STAT:00032D1F];Dungeons\Nordic\Rubble\NorRubblePile05.nif
208181;CaveIShaftStraight01 [STAT:00032D35];Dungeons\Caves\Ice\Shaft\CaveIShaftStraight01.nif
208184;CaveIShaftWall01 [STAT:00032D38];Dungeons\Caves\Ice\Shaft\CaveIShaftWall01.nif
208185;CaveIShaftWall02 [STAT:00032D39];Dungeons\Caves\Ice\Shaft\CaveIShaftWall02.nif
208186;CaveIShaftWall03 [STAT:00032D3A];Dungeons\Caves\Ice\Shaft\CaveIShaftWall03.nif
208187;CaveIShaftWall04 [STAT:00032D3B];Dungeons\Caves\Ice\Shaft\CaveIShaftWall04.nif
208188;CaveIShaftBottom01 [STAT:00032D3C];Dungeons\Caves\Ice\Shaft\CaveIShaftBottom01.nif
208189;CaveIShaftTop01 [STAT:00032D3D];Dungeons\Caves\Ice\Shaft\CaveIShaftTop01.nif
208190;CaveIShaftTop01c [STAT:00032D3E];Dungeons\Caves\Ice\Shaft\CaveIShaftTop01c.nif
209087;NorBridgeCage02a [STAT:000330BF];Dungeons\Nordic\Bridges\NorBridgeCage02a.nif
209090;NorBridgeCage01x512b [STAT:000330C2];Dungeons\Nordic\Bridges\NorBridgeCage01x512b.nif
209091;NorBridgeCage01x512a [STAT:000330C3];Dungeons\Nordic\Bridges\NorBridgeCage01x512a.nif
209477;WRWallShelf01 [STAT:00033245];Architecture\WhiteRun\WRInteriors\WRWallShelf01.nif
209524;WRFirePlaceSpit01 [STAT:00033274];Architecture\WhiteRun\WRInteriors\WRFirePlaceSpit01.nif
209607;RockPileL01TundraRocks [STAT:000332C7];Landscape\Rocks\RockPileL01.nif
209939;NorTmpHallBg1wayWall03 [STAT:00033413];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBg1wayWall03.nif
209940;NorTmpHallBgColumn03 [STAT:00033414];Dungeons\Nordic\Temple\BgHalls\NorTmpHallBgColumn03.nif
210096;CaveIShaftDoor03 [STAT:000334B0];Dungeons\Caves\Ice\Shaft\CaveIShaftDoor03.nif
210097;CaveIShaftDoor04 [STAT:000334B1];Dungeons\Caves\Ice\Shaft\CaveIShaftDoor04.nif
210098;CaveIShaftDoor01 [STAT:000334B2];Dungeons\Caves\Ice\Shaft\CaveIShaftDoor01.nif
210099;CaveIShaftDoor02 [STAT:000334B3];Dungeons\Caves\Ice\Shaft\CaveIShaftDoor02.nif
212999;CaveIShaftDoorLB01 [STAT:00034007];Dungeons\Caves\Ice\Shaft\CaveIShaftDoorLB01.nif
213000;CaveIShaftDoorLB02 [STAT:00034008];Dungeons\Caves\Ice\Shaft\CaveIShaftDoorLB02.nif
213001;CaveIShaftDoorLB03 [STAT:00034009];Dungeons\Caves\Ice\Shaft\CaveIShaftDoorLB03.nif
213002;CaveIShaftDoorLB04 [STAT:0003400A];Dungeons\Caves\Ice\Shaft\CaveIShaftDoorLB04.nif
213003;CaveIShaftDoorB01 [STAT:0003400B];Dungeons\Caves\Ice\Shaft\CaveIShaftDoorB01.nif
213004;CaveIShaftDoorB02 [STAT:0003400C];Dungeons\Caves\Ice\Shaft\CaveIShaftDoorB02.nif
213005;CaveIShaftDoorB03 [STAT:0003400D];Dungeons\Caves\Ice\Shaft\CaveIShaftDoorB03.nif
213006;CaveIShaftDoorB04 [STAT:0003400E];Dungeons\Caves\Ice\Shaft\CaveIShaftDoorB04.nif
213007;CaveIShaftDoorL01 [STAT:0003400F];Dungeons\Caves\Ice\Shaft\CaveIShaftDoorL01.nif
213008;CaveIShaftDoorL02 [STAT:00034010];Dungeons\Caves\Ice\Shaft\CaveIShaftDoorL02.nif
213009;CaveIShaftDoorL03 [STAT:00034011];Dungeons\Caves\Ice\Shaft\CaveIShaftDoorL03.nif
213010;CaveIShaftDoorL04 [STAT:00034012];Dungeons\Caves\Ice\Shaft\CaveIShaftDoorL04.nif
213012;NorBridgeCage01x256a [STAT:00034014];Dungeons\Nordic\Bridges\NorBridgeCage01x256a.nif
213013;NorBridgeCage01x256c [STAT:00034015];Dungeons\Nordic\Bridges\NorBridgeCage01x256c.nif
213014;NorBridgeCage01x512c [STAT:00034016];Dungeons\Nordic\Bridges\NorBridgeCage01x512c.nif
213015;NorBridgeCage02b [STAT:00034017];Dungeons\Nordic\Bridges\NorBridgeCage02b.nif
213016;NorBridgeCage02c [STAT:00034018];Dungeons\Nordic\Bridges\NorBridgeCage02c.nif
213017;NorBridgeCageMid01 [STAT:00034019];Dungeons\Nordic\Bridges\NorBridgeCageMid01.nif
213018;NorBridgeCageMid02 [STAT:0003401A];Dungeons\Nordic\Bridges\NorBridgeCageMid02.nif
213042;NorBridgeCageMidCap01 [STAT:00034032];Dungeons\Nordic\Bridges\NorBridgeCageMidCap01.nif
213372;1stPersonOrcishBow [STAT:0003417C];Weapons\Orcish\OrcishBow.nif
213374;1stPersonOrcishArrow [STAT:0003417E];Weapons\Orcish\OrcishArrow.nif
214095;NorBridgeCageEndCap01 [STAT:0003444F];Dungeons\Nordic\Bridges\NorBridgeCageEndCap01.nif
214104;NorRubblePiece01 [STAT:00034458];Dungeons\Nordic\Rubble\NorRubblePiece01.nif
214105;NorRubblePiece02 [STAT:00034459];Dungeons\Nordic\Rubble\NorRubblePiece02.nif
214106;NorRubblePiece03 [STAT:0003445A];Dungeons\Nordic\Rubble\NorRubblePiece03.nif
214107;NorRubblePiece04 [STAT:0003445B];Dungeons\Nordic\Rubble\NorRubblePiece04.nif
214108;NorRubblePiece05 [STAT:0003445C];Dungeons\Nordic\Rubble\NorRubblePiece05.nif
214109;CaveIBalconyCurve02 [STAT:0003445D];Dungeons\Caves\Ice\Balcony\CaveIBalconyCurve02.nif
214110;CaveIBalconyCurve03 [STAT:0003445E];Dungeons\Caves\Ice\Balcony\CaveIBalconyCurve03.nif
214111;CaveIBalconyCurve04 [STAT:0003445F];Dungeons\Caves\Ice\Balcony\CaveIBalconyCurve04.nif
214112;CaveIBalconyICorner01 [STAT:00034460];Dungeons\Caves\Ice\Balcony\CaveIBalconyICorner01.nif
214113;CaveIBalconyICorner02 [STAT:00034461];Dungeons\Caves\Ice\Balcony\CaveIBalconyICorner02.nif
214114;CaveIBalconyICorner03 [STAT:00034462];Dungeons\Caves\Ice\Balcony\CaveIBalconyICorner03.nif
214115;CaveIBalconyICorner04 [STAT:00034463];Dungeons\Caves\Ice\Balcony\CaveIBalconyICorner04.nif
214116;CaveIBalconyMid01 [STAT:00034464];Dungeons\Caves\Ice\Balcony\CaveIBalconyMid01.nif
214117;CaveIBalconyMid02 [STAT:00034465];Dungeons\Caves\Ice\Balcony\CaveIBalconyMid02.nif
214118;CaveIBalconyRamp01 [STAT:00034466];Dungeons\Caves\Ice\Balcony\CaveIBalconyRamp01.nif
214119;CaveIBalconyRamp02 [STAT:00034467];Dungeons\Caves\Ice\Balcony\CaveIBalconyRamp02.nif
214120;CaveIBalconyShaftBridge01 [STAT:00034468];Dungeons\Caves\Ice\Balcony\CaveIBalconyShaftBridge01.nif
214121;CaveIBalconyShelf01 [STAT:00034469];Dungeons\Caves\Ice\Balcony\CaveIBalconyShelf01.nif
214122;CaveIBalconyShelf02 [STAT:0003446A];Dungeons\Caves\Ice\Balcony\CaveIBalconyShelf02.nif
214123;CaveIBalconyStraight01 [STAT:0003446B];Dungeons\Caves\Ice\Balcony\CaveIBalconyStraight01.nif
214124;CaveIBalconyStraight02 [STAT:0003446C];Dungeons\Caves\Ice\Balcony\CaveIBalconyStraight02.nif
214125;CaveIBalconyStraight03 [STAT:0003446D];Dungeons\Caves\Ice\Balcony\CaveIBalconyStraight03.nif
214126;CaveIBalconyStraight04 [STAT:0003446E];Dungeons\Caves\Ice\Balcony\CaveIBalconyStraight04.nif
214127;CaveIBalconyCorner01 [STAT:0003446F];Dungeons\Caves\Ice\Balcony\CaveIBalconyCorner01.nif
214128;CaveIBalconyCorner02 [STAT:00034470];Dungeons\Caves\Ice\Balcony\CaveIBalconyCorner02.nif
214129;CaveIBalconyCorner03 [STAT:00034471];Dungeons\Caves\Ice\Balcony\CaveIBalconyCorner03.nif
214130;CaveIBalconyCorner04 [STAT:00034472];Dungeons\Caves\Ice\Balcony\CaveIBalconyCorner04.nif
214131;CaveIBalconyCurve01 [STAT:00034473];Dungeons\Caves\Ice\Balcony\CaveIBalconyCurve01.nif
214132;CaveIFWallDoorL02 [STAT:00034474];Dungeons\Caves\Ice\FrozenWall\CaveIFWallDoorL02.nif
214133;CaveIFWallDoorLB01 [STAT:00034475];Dungeons\Caves\Ice\FrozenWall\CaveIFWallDoorLB01.nif
214134;CaveIFWallDoorLB02 [STAT:00034476];Dungeons\Caves\Ice\FrozenWall\CaveIFWallDoorLB02.nif
214135;CaveIFWallInCorner01 [STAT:00034477];Dungeons\Caves\Ice\FrozenWall\CaveIFWallInCorner01.nif
214136;CaveIFWallInCorner02 [STAT:00034478];Dungeons\Caves\Ice\FrozenWall\CaveIFWallInCorner02.nif
214137;CaveIFWallInCorner03 [STAT:00034479];Dungeons\Caves\Ice\FrozenWall\CaveIFWallInCorner03.nif
214138;CaveIFWallInCorner04 [STAT:0003447A];Dungeons\Caves\Ice\FrozenWall\CaveIFWallInCorner04.nif
214139;CaveIFWallStraight01 [STAT:0003447B];Dungeons\Caves\Ice\FrozenWall\CaveIFWallStraight01.nif
214140;CaveIFWallStraight02 [STAT:0003447C];Dungeons\Caves\Ice\FrozenWall\CaveIFWallStraight02.nif
214141;CaveIFWallStraight03 [STAT:0003447D];Dungeons\Caves\Ice\FrozenWall\CaveIFWallStraight03.nif
214142;CaveIFWallStraight04 [STAT:0003447E];Dungeons\Caves\Ice\FrozenWall\CaveIFWallStraight04.nif
214143;CaveIFWallStraight05 [STAT:0003447F];Dungeons\Caves\Ice\FrozenWall\CaveIFWallStraight05.nif
214144;CaveIFWallStraight06 [STAT:00034480];Dungeons\Caves\Ice\FrozenWall\CaveIFWallStraight06.nif
214145;CaveIFCeiling01 [STAT:00034481];Dungeons\Caves\Ice\FrozenWall\CaveIFCeiling01.nif
214146;CaveIFloor01 [STAT:00034482];Dungeons\Caves\Ice\FrozenWall\CaveIFloor01.nif
214147;CaveIFWallCorner01 [STAT:00034483];Dungeons\Caves\Ice\FrozenWall\CaveIFWallCorner01.nif
214148;CaveIFWallCorner02 [STAT:00034484];Dungeons\Caves\Ice\FrozenWall\CaveIFWallCorner02.nif
214149;CaveIFWallCorner03 [STAT:00034485];Dungeons\Caves\Ice\FrozenWall\CaveIFWallCorner03.nif
